F,R,I
3650000000,0.773586818,-0.25197425
3660000000,0.539828716,-0.603577302
3670000000,0.164134321,-0.788554242
3680000000,-0.255384168,-0.760333226
3690000000,-0.608137465,-0.51849123
3700000000,-0.791212479,-0.120336242
3710000000,-0.729964528,0.31927741
3720000000,-0.437600564,0.674688731
3730000000,0.001613407,0.806966869
3740000000,0.438696383,0.678935497
3750000000,0.733253129,0.344121216
3760000000,0.805662122,-0.086182792
3770000000,0.649245773,-0.48500373
3780000000,0.315666372,-0.744038689
3790000000,-0.102271593,-0.798484889
3800000000,-0.490760859,-0.633738647
3810000000,-0.743102026,-0.288953287
3820000000,-0.783059679,0.144079027
3830000000,-0.58556125,0.540427717
3840000000,-0.199284751,0.775097201
3850000000,0.256647436,0.763188693
3860000000,0.631578522,0.504259562
3870000000,0.804951809,0.089820171
3880000000,0.732294787,-0.342203281
3890000000,0.452670337,-0.665999112
3900000000,0.057714514,-0.799834322
3910000000,-0.347926836,-0.716696441
3920000000,-0.662155226,-0.444652336
3930000000,-0.79392437,-0.043437774
3940000000,-0.700229422,0.381910677
3950000000,-0.387907813,0.698618858
3960000000,0.056073677,0.797898094
3970000000,0.484483959,0.638927686
3980000000,0.754035805,0.273934791
3990000000,0.78462728,-0.171682225
4000000000,0.578910759,-0.55544612
4010000000,0.211572376,-0.771483212
4020000000,-0.205110833,-0.770849068
4030000000,-0.561081422,-0.561837057
4040000000,-0.766360905,-0.201836032
4050000000,-0.761288868,0.218699631
4060000000,-0.533485987,0.587240329
4070000000,-0.133712205,0.784756473
4080000000,0.319408061,0.730951831
4090000000,0.67029133,0.433790284
4100000000,0.797787488,-0.001457353
4110000000,0.672669754,-0.425193782
4120000000,0.354216266,-0.711492495
4130000000,-0.053124982,-0.793253001
4140000000,-0.440894747,-0.660959851
4150000000,-0.71310795,-0.355175498
4160000000,-0.793541939,0.048284898
4170000000,-0.654549865,0.446249328
4180000000,-0.324506355,0.723117102
4190000000,0.113952386,0.782547177
4200000000,0.52526183,0.590636898
4210000000,0.764853711,0.201827613
4220000000,0.749953122,-0.251413869
4230000000,0.495247318,-0.616425661
4240000000,0.098182054,-0.783975355
4250000000,-0.315872776,-0.722487862
4260000000,-0.635466618,-0.466312138
4270000000,-0.783242973,-0.088182806
4280000000,-0.722334223,0.31786014
4290000000,-0.459211835,0.644448078
4300000000,-0.05237684,0.790567553
4310000000,0.38069569,0.69554613
4320000000,0.696076496,0.377082322
4330000000,0.787566338,-0.060193997
4340000000,0.633786015,-0.469831062
4350000000,0.296330463,-0.730600494
4360000000,-0.116881204,-0.781224094
4370000000,-0.492391986,-0.61865733
4380000000,-0.735513264,-0.291155261
4390000000,-0.780979629,0.116171676
4400000000,-0.609148755,0.497223001
4410000000,-0.256165077,0.740040133
4420000000,0.184041458,0.758053442
4430000000,0.57388449,0.528399639
4440000000,0.773797858,0.116035892
4450000000,0.709633834,-0.337720513
4460000000,0.412676529,-0.673252369
4470000000,-0.004099736,-0.790561636
4480000000,-0.405106127,-0.679281301
4490000000,-0.685717295,-0.391213667
4500000000,-0.788360903,-0.008451187
4510000000,-0.691522935,0.377198224
4520000000,-0.409455539,0.671894508
4530000000,-0.001370768,0.786066772
4540000000,0.421660079,0.661853275
4550000000,0.716093411,0.315882514
4560000000,0.768776655,-0.140100514
4570000000,0.561710987,-0.543384242
4580000000,0.178166098,-0.762481103
4590000000,-0.247913803,-0.746321494
4600000000,-0.591801539,-0.520397368
4610000000,-0.771843654,-0.159251355
4620000000,-0.752141687,0.236098865
4630000000,-0.537596196,0.571954369
4640000000,-0.174538619,0.762224558
4650000000,0.247130464,0.738672002
4660000000,0.605127759,0.48521166
4670000000,0.771854783,0.064851207
4680000000,0.674034326,-0.382104544
4690000000,0.345620799,-0.694535265
4700000000,-0.086909611,-0.773110716
4710000000,-0.478012079,-0.61591336
4720000000,-0.723976927,-0.293230777
4730000000,-0.776035559,0.09743256
4740000000,-0.631946769,0.460018595
4750000000,-0.326895098,0.708226261
4760000000,0.070361881,0.773549096
4770000000,0.458746297,0.622201228
4780000000,0.718290546,0.276892355
4790000000,0.750126193,-0.167792329
4800000000,0.526716994,-0.561967694
4810000000,0.121698096,-0.763463986
4820000000,-0.31673568,-0.708373452
4830000000,-0.643354438,-0.435249316
4840000000,-0.774238412,-0.048555016
4850000000,-0.696414283,0.337192225
4860000000,-0.444578592,0.630626075
4870000000,-0.080640926,0.766937864
4880000000,0.314385946,0.705264257
4890000000,0.638390547,0.439201326
4900000000,0.776911908,0.021198543
4910000000,0.654195588,-0.418997061
4920000000,0.300526296,-0.71376994
4930000000,-0.147652841,-0.756006345
4940000000,-0.52967411,-0.554786111
4950000000,-0.739578744,-0.201166765
4960000000,-0.742904243,0.194782795
4970000000,-0.555388274,0.53552317
4980000000,-0.225198121,0.741722244
4990000000,0.171911945,0.757047183
5000000000,0.534419011,0.563442404
5010000000,0.748788652,0.196275865
5020000000,0.73001794,-0.245206803
5030000000,0.465247879,-0.610779122
5040000000,0.040745891,-0.764733395
5050000000,-0.39220666,-0.657655135
5060000000,-0.686629799,-0.34230917
5070000000,-0.764929762,0.06458304
5080000000,-0.629717993,0.439704913
5090000000,-0.335033237,0.691600103
5100000000,0.041604688,0.767748953
5110000000,0.413613322,0.649634119
5120000000,0.68634303,0.352791496
5130000000,0.769677628,-0.061153928
5140000000,0.610576882,-0.47202506
5150000000,0.239395043,-0.730187857
5160000000,-0.213361751,-0.733871785
5170000000,-0.580717164,-0.490529198
5180000000,-0.750284074,-0.102265012
5190000000,-0.696920983,0.298304278
5200000000,-0.456153466,0.604791483
5210000000,-0.10454019,0.754302472
5220000000,0.274164463,0.711972823
5230000000,0.592779105,0.485667757
5240000000,0.759793902,0.116375942
5250000000,0.705687734,-0.30570243
5260000000,0.41858085,-0.642706575
5270000000,-0.017439825,-0.761383194
5280000000,-0.440550446,-0.613244332
5290000000,-0.700008403,-0.266943208
5300000000,-0.732258522,0.14416354
5310000000,-0.55854847,0.49672451
5320000000,-0.244384712,0.71118471
5330000000,0.131002901,0.747461408
5340000000,0.481743122,0.595682934
5350000000,0.718315911,0.27890127
5360000000,0.760177664,-0.131280392
5370000000,0.568156043,-0.514335795
5380000000,0.186656963,-0.734239352
5390000000,-0.255166818,-0.704181184
5400000000,-0.600758006,-0.436679513
5410000000,-0.740912194,-0.034403896
5420000000,-0.649035951,0.366268195
5430000000,-0.371910071,0.651039972
5440000000,0.001700009,0.754662442
5450000000,0.371258776,0.661518714
5460000000,0.647248127,0.397614335
5470000000,0.760091495,0.024678796
5480000000,0.665432742,-0.367367877
5490000000,0.365605453,-0.664749473
5500000000,-0.065048677,-0.753254489
5510000000,-0.478062519,-0.579471456
5520000000,-0.71641003,-0.205169728
5530000000,-0.706838529,0.221412351
5540000000,-0.483429912,0.558045981
5550000000,-0.137961025,0.727176767
5560000000,0.233401214,0.708282757
5570000000,0.548932947,0.51551725
5580000000,0.73768432,0.188113226
5590000000,0.739447991,-0.205270433
5600000000,0.524948037,-0.56016201
5610000000,0.134771603,-0.751224878
5620000000,-0.304681842,-0.687547198
5630000000,-0.630700396,-0.385690056
5640000000,-0.731699183,0.035133775
5650000000,-0.593159821,0.426011062
5660000000,-0.283256352,0.676432673
5670000000,0.095513631,0.734477619
5680000000,0.445708167,0.60134277
5690000000,0.687496676,0.31512062
5700000000,0.759865226,-0.059176337
5710000000,0.629097718,-0.432506271
5720000000,0.309143188,-0.695211837
5730000000,-0.118662892,-0.743634728
5740000000,-0.510045698,-0.539056599
5750000000,-0.716706981,-0.149757949
5760000000,-0.671001616,0.276655731
5770000000,-0.412493577,0.596601709
5780000000,-0.042944308,0.728803833
5790000000,0.328742166,0.659851384
5800000000,0.614124757,0.423133551
5810000000,0.748679599,0.077771247
5820000000,0.695692092,-0.297832328
5830000000,0.453030269,-0.606521264
5840000000,0.066051495,-0.749723993
5850000000,-0.353959544,-0.660335091
5860000000,-0.654354568,-0.334161681
5870000000,-0.718980132,0.101229956
5880000000,-0.532804027,0.484308121
5890000000,-0.185929662,0.69433092
5900000000,0.196853567,0.69431154
5910000000,0.515672033,0.513217339
5920000000,0.706299619,0.209461647
5930000000,0.729859532,-0.151713283
5940000000,0.57056387,-0.492799585
5950000000,0.24242715,-0.717805155
5960000000,-0.179926441,-0.731879864
5970000000,-0.551358126,-0.49693482
5980000000,-0.720893326,-0.088199229
5990000000,-0.630013261,0.33289946
6000000000,-0.332469557,0.62204774
6010000000,0.045312598,0.706729953
6020000000,0.400560117,0.596610858
6030000000,0.652421159,0.334475441
6040000000,0.745286459,-0.018373948
6050000000,0.652130246,-0.382458484
6060000000,0.381170247,-0.655118353
6070000000,-0.010917554,-0.751362643
6080000000,-0.410146578,-0.618363135
6090000000,-0.673585611,-0.275798712
6100000000,-0.697401544,0.158614289
6110000000,-0.477412636,0.524092886
6120000000,-0.10804423,0.701090766
6130000000,0.280457168,0.657942033
6140000000,0.580006711,0.434916007
6150000000,0.727709245,0.103376097
6160000000,0.699122917,-0.257149362
6170000000,0.496325409,-0.565101116
6180000000,0.15251947,-0.739053064
6190000000,-0.252039946,-0.707877889
6200000000,-0.589329223,-0.449268165
6210000000,-0.725699832,-0.034616499
6220000000,-0.60253069,0.381458941
6230000000,-0.277716146,0.648028577
6240000000,0.119972967,0.695147856
6250000000,0.466647009,0.537854534
6260000000,0.682277762,0.239595061
6270000000,0.725613107,-0.119522737
6280000000,0.587545286,-0.458520608
6290000000,0.292767675,-0.692966978
6300000000,-0.097191028,-0.744956895
6310000000,-0.473325178,-0.575209671
6320000000,-0.699868914,-0.21385839
6330000000,-0.682603568,0.218966793
6340000000,-0.428401304,0.559912625
6350000000,-0.042879129,0.697662922
6360000000,0.337222772,0.61459008
6370000000,0.609246235,0.36183227
6380000000,0.71990639,0.018041831
6390000000,0.651791517,-0.334434909
6400000000,0.415422543,-0.615273886
6410000000,0.057227772,-0.745435029
6420000000,-0.333395126,-0.665589468
6430000000,-0.629843175,-0.375801097
6440000000,-0.716834727,0.037268181
6450000000,-0.557671245,0.4277264
